Subnet Name,Subnet Title,Subnet Number,Description,Category,Website Link,Dashboard Link,Applications,Whitepaper Link,Twitter Link,Github Link
Proof-of-Compute,Omron,2,"Omron is focused on verifying intelligence using a zero-knowledge machine learning (zk-ML) framework that employs zk proofs to ensure the computational integrity of AI inferences. Contributors are incentivized to develop GPU-optimized proving systems, rewarding miners for creating succinct, efficient models that integrate zk proving mechanisms.",Compute,https://omron.ai/,,,https://docs.omron.ai/,https://x.com/omron_ai,https://github.com/inference-labs-inc/omron-subnet
Cloud GPUs,Horde,12,Horde is a cloud platform dedicated to networkless GPU-equipped servers. It implements hardware classes to establish a free market that optimizes for cost-effectiveness over merely the strongest hardware.,Compute,,https://grafana.bactensor.io/d/b2d70a9d-e838-402c-8e2a-5476fac8de1c/sn12-compute-power?orgId=1&from=now-2d&to=now,Horde == https://facilitator.computehorde.io/accounts/login/?next=/,,,https://github.com/backend-developers-ltd/ComputeHorde
Unified Compute Orchestration,Neural Internet,27,"Neural Internet is a compute-composable subnet designed to integrate various centralized and decentralized cloud platforms, such as Runpod, Lambda, Akash, and AWS, into a unified system, facilitating seamless compute composability across these different platforms.",Compute,https://neuralinternet.ai/,https://opencompute.streamlit.app/,,,https://x.com/neural_internet,https://github.com/neuralinternet/compute-subnet
Rapid LLM Response,Targon,4,Targon specializes in delivering accurate and rapid responses for LLMs. The subnet employs its Redundant Deterministic Verification mechanism to ensure that contributors are running the correct models and handle user-submitted inputs accurately.,Generative AI,https://www.manifold.inc/,https://stats.sybil.com/,Sybil == https://targon.sybil.com/,,https://x.com/manifoldlabs,https://github.com/manifold-inc/targon
Distributed Inference at Scale,Vision,19,"Vision specializes in large-scale distributed inference, providing access to the top open-source LLMs, image generation models, and other miscellaneous models, such as embedding models. With an average response time of 300ms and a throughput of 45 tokens per second, Vision delivers both speed and reliability.",Generative AI,https://sn19.ai/,https://sn19.ai/leaderboards,nineteenai == https://app.sn19.ai/,https://sn19.ai/pdfs/sn19-deck.pdf,https://x.com/Corcel_X,https://github.com/namoray/vision
3D Content Generation,Three Gen,17,Three Gen incentivizes the development of AI models for generating 3D digital assets and the creation of synthetic 3D model datasets. ,Generative AI,https://www.404.xyz/,,,https://doc.404.xyz/v/sn17-whitepaper,https://x.com/404gen_,https://github.com/404-Repo/three-gen-subnet/
LLMs + Synthetic Data,Cortex.t,18,"Cortex.t delivers reliable, high-quality text and image responses by incentivizing miners to contribute API keys to top AI models, allowing subnet traffic to be processed through these keys. The subnet also aggregates prompt-response pairs to create a comprehensive synthetic dataset.",Generative AI,https://corcel.io/,,Corcel == https://app.corcel.io/sign-in,https://corcel.io/whitepapers/decentralised-subnet-inference-at-scale,https://x.com/Corcel_X,https://github.com/corcel-api/cortex.t
Distributed Inference,SocialTensor,23,"SocialTensor incentivizes miners to scale computational resources for text and image generation models. Contributors commit to a model type and generation volume, with new models and features introduced based on usage demand.",Generative AI,https://www.socialtensor.io/,https://studio.nichetensor.com/,NicheTensor == https://studio.nichetensor.com/,,https://x.com/SocialTensor,https://github.com/SocialTensor/SocialTensorSubnet
Image Generation,Tensor Alchemy,26,"TensorAlchemy specializes in image generation, incorporating a human scoring element where contributors provide feedback to refine and optimize AI outputs. ",Generative AI,https://tensoralchemy.ai/,,Alchemizer == https://tensoralchemy.ai/,,https://x.com/TensorAlchemy,https://github.com/TensorAlchemy/TensorAlchemy
Agentic Workflows,Apex,1,Apex is focused on producing agentic workflows in conjunction with LLMs that surpass the capabilities of proprietary models at specific tasks.,Agentic AI,https://www.macrocosmos.ai/sn1,,,,https://x.com/MacrocosmosAI,https://github.com/macrocosm-os/prompting
Coding Assistant,Gen42,45,"GEN42 is an AI coding assistant for for intelligence code generation, completion, and interactive Q&A. Contributors are incentivized to create tools that streamline the coding workflow, allowing developers to concentrate on creativity and problem-solving.",Agentic AI,https://www.gen42.ai/en,,Gen42 Chat == https://chat.gen42.ai/login,,https://x.com/Gen42AI,https://github.com/brokespace/code
Personal Assistance,BitAgent,20,"BitAgent incentivizes the development and hosting of AI models that handle daily tasks, providing personalized assistance and automating workflows to enhance productivity.",Agentic AI,,,GoGo Agent == https://gogoagent.ai/,https://docs.google.com/document/d/1QVCzDu0eMmkdglD65F_Q_UjnCJauVEr62WgG8SgACt0/edit#heading=h.ck7e3z2g8pmt,,
DeFi Yield Optimizers,Sturdy,10,Sturdy is focused on the creation of autonomous DeFi yield optimizers. Contributors develop algorithms to allocate assets among a fixed set of strategies or 'pools' with varying interest rates to maximize yield.,Agentic AI,https://www.sturdysubnet.org/,https://www.sturdysubnet.org/dashboard,,,https://x.com/SturdyFinance,https://github.com/Sturdy-Subnet/sturdy-subnet
Trading Strategies,Proprietary Trading Network,8,"The Proprietary Trading Network incentivizes the contribution of profitable trading strategies across various financial markets. Contributors who provide the best trading signals receive the highest rewards, attracting skilled traders, data scientists, and machine learning teams to compete.",AI-Powered Tools,https://www.taoshi.io/,https://dashboard.taoshi.io/,,,https://x.com/taoshiio,https://github.com/taoshidev/proprietary-trading-network
Deepfake Detection,BitMind,34,BitMind is focused on detecting AI-generated media. Contributors are incentivized to create advanced models that can reliably differentiate between authentic and fabricated content.,AI-Powered Tools,https://www.bitmindlabs.ai/,https://app.bitmindlabs.ai/leaderboard,"Bitmind ID == https://bitmindid.com/
Agent Smith == https://chromewebstore.google.com/detail/bitmind-agent-smith/ejlhmbdnjjlifeeelpnlkkechnmojnhg?pli=1",,https://x.com/BitMindAI,https://github.com/BitMind-AI/bitmind-subnet
AI-Generated Text Detection,It's AI,32,It's AI incentivizes the development of systems that can identify LLM-generated content.,AI-Powered Tools,https://its-ai.org/,,"It's AI == https://app.its-ai.org/main/scan
It's AI - Corcel == https://playground.corcel.io/its-ai",,https://x.com/ai_detection,https://github.com/It-s-AI/llm-detection/tree/v3.0
Open Search Engine,Open Kaito,5,"OpenKaito is focused on creating a decentralized indexing layer. Contributors are incentivized to come up with innovative solutions to data acquisition, indexing, ranking, and knowledge graphs to deliver the highest quality ranked lists for each search query.",AI-Powered Tools,,,ETHDenver Search == https://portal.kaito.ai/events/ETHDenver2024,,https://x.com/_kaitoai,https://github.com/OpenKaito/openkaito
Fraud Detection,Palaidn,14,Palaidn incentivizes contributors to develop AI models that detect malicious transactions and vulnerabilities in onchain networks.,AI-Powered Tools,https://palaidn.com/,,,,https://x.com/Palaidn,https://github.com/palaidn/palaidn_subnet
Twitter Data Analysis,Smart-Scrape,22,"Smart-Scrape is focused on analyzing X/Twitter data. Contributors perform sentiment and metadata analysis of tweets, providing deeper insights into user interactions.",AI-Powered Tools,https://datura.ai/,,Datura == https://chi.datura.ai/,,,https://github.com/Datura-ai/smart-scrape
Protein Folding,Protein Folding,25,Protein Folding focuses on molecular dynamics simulations. Contributors are incentivized to develop performant protein-folding models that drive down the cost of querying.,Specialized Problem Solving,https://www.macrocosmos.ai/sn25,,,,https://x.com/MacrocosmosAI,https://github.com/macrocosm-os/folding
Neural Architecture Search,NAS Chain,31,NASChain is dedicated to optimizing neural architecture search (NAS). Contributors run NAS algorithms in search of models that maximize accuracy while minimizing computational costs.,Specialized Problem Solving,,,,,https://x.com/naschain_ai,https://github.com/neuronlogic/NASChain
Algorithmic Optimization,Graphite,43,"Graphite focuses on graph problems, which involve optimizing algorithms to solve computational challenges, such as finding the shortest path, optimizing network flow, or determining optimal arrangements.",Specialized Problem Solving,https://graphite-ai.net/,,,,https://x.com/GraphiteSubnet,https://github.com/GraphiteAI/Graphite-Subnet
Future Event Prediction,Infinite Games,6,Infinite Games incentivizes the prediction of future events by rewarding contributors based on the accuracy and speed of their model's forecasts. The subnet currently focuses on binary future events listed on Polymarket and Azuro.,Predictive Systems,https://www.infinitegam.es/,,,,https://x.com/Playinfgames,https://github.com/amedeo-gigaver/infinite_games/tree/main
Sports Prediction,Betternsor,30,"Bettensor is focused on sports prediction, incentivizing the accurate forecasting of sports outcomes using various methods, including human intuition, AI models, and statistical approaches.",Predictive Systems,https://bettensor.io/,https://bettensor.com/alpha,Bettensor == https://bettensor.com/games,,https://x.com/Bettensor,https://github.com/Bettensor/bettensor
Algorithmic Sports Prediction,Sportstensor,41,"Sportstensor is focused on sports prediction, incentivizing contributors to train and develop accurate sports prediction models.",Predictive Systems,https://www.sportstensor.com/,,,,https://x.com/sportstensor,https://github.com/xzistance/sportstensor
S&P 500 Price Prediction,Foundry S&P 500 Oracle,28,Foundry S&P 500 Oracle incentivizes miners to make accurate predictions on the S&P 500 price throughout trading hours. ,Predictive Systems,https://bittensor.foundrydigital.com/,,,,,https://github.com/foundryservices/snpOracle
Soccer Prediction,Score Predict,44,Score Predict is focused on incentivizing accurate football (soccer) match predictions.,Predictive Systems,https://scorepredict.io/,,Score Predict == https://app.scorepredict.io/,,https://x.com/ScorePredictHQ,https://github.com/score-protocol/score-predict
Online Advertising,BitAds,16,"BitAds is focused on reshaping online advertising with its Conversion Tracking system, which ensures advertisers pay only for successful sales. Contributors are rewarded based on the sales generated through their unique links.",General Infrastructure,https://bitads.ai/,,,https://bitads.ai/whitepaper,https://x.com/BitAds_AI,https://github.com/eseckft/BitAds.ai
Bittensor Node Infra,SubVortex,7,SubVortex is focused on incentivizing contributors to run Subtensor (Bittensor's blockchain) nodes.,General Infrastructure,https://www.subvortex.com/,,,,https://x.com/SubVortexTao,https://github.com/eclipsevortex/SubVortex
Human Services,Human Intelligence Primitive,36,"Human Intelligence Primitive (HIP) is focused on enabling other Bittensor subnets to access human assessment services. Contributors provide human evaluation and feedback, earning rewards based on the quality of their contributions.",General Infrastructure,,,,,,https://github.com/HIP-Labs/HIP-Subnet
Human Verification,Tatsu Identity,38,"Tatsu Identity focuses on distinguishing between humans and AI entities. It incentivizes contributors to develop and run models that predict whether a given entity is human or AI, using various data sources.",General Infrastructure,,,,,,https://github.com/TatsuProject/Identity-Subnet
